partido_nombre,candidato_nombre
AVANCEMOS NARIÑO,ALEJANDRA GABRIELA ABASOLO GOMEZ
AVANCEMOS NARIÑO,EDGAR FERNANDO RAMIREZ BRAVO
AVANCEMOS NARIÑO,CARLOS ANDRES CUAICAL CHAPI
AVANCEMOS NARIÑO,DEY YAMA CORDOBA
AVANCEMOS NARIÑO,ROBERT WILSON SALDAÑA BASANTE
PARTIDO LIBERAL COLOMBIANO,JULIO ANIBAL ALVAREZ LOPEZ
PARTIDO LIBERAL COLOMBIANO,SERGIO ANTONIO MUÑOZ CASTILLO
PARTIDO LIBERAL COLOMBIANO,ALVARO JAVIER ZARAMA BURBANO
PARTIDO LIBERAL COLOMBIANO,SONIA ZORAIDA CIFUENTES MELO
PARTIDO LIBERAL COLOMBIANO,NATALIA ROMERO VEGA
MOVIMIENTO POLÍTICO PACTO HISTÓRICO,ERICK ADRIAN VELASCO BURBANO
MOVIMIENTO POLÍTICO PACTO HISTÓRICO,ROSITA ROSAURINA GUEVARA ROSERO
MOVIMIENTO POLÍTICO PACTO HISTÓRICO,CHRISTIAN HOSEP PALACIOS LEDEZMA
MOVIMIENTO POLÍTICO PACTO HISTÓRICO,YENNI XIMENA RODRIGUEZ GUERRERO
MOVIMIENTO POLÍTICO PACTO HISTÓRICO,JUAN CAMILO GONZALEZ DELGADO
ALIANZA POR NARIÑO,JHON ALEXANDER ROJAS CABRERA
ALIANZA POR NARIÑO,MIGUEL ALEJANDRO HUERTAS ERAZO
ALIANZA POR NARIÑO,JULIA MARGOTH BOLAÑOS MORILLO
ALIANZA POR NARIÑO,JESICA NATHALIA RODRIGUEZ BENAVIDES
ALIANZA POR NARIÑO,ALVARO MARINO PALACIOS MORA
PARTIDO CONSERVADOR COLOMBIANO,CARLOS ALBERTO PANTOJA CORTES
PARTIDO CONSERVADOR COLOMBIANO,JUAN DANIEL PEÑUELA CALVACHE
PARTIDO CONSERVADOR COLOMBIANO,NILZA MARIA PANTOJA AGREDA
PARTIDO CONSERVADOR COLOMBIANO,EDGAR ILICH RUIZ REYNEL
PARTIDO CONSERVADOR COLOMBIANO,CARMEN ILIA GUAQUEZ CHASPARIZAN
PARTIDO DE LA U - EN MARCHA,TERESA DE JESUS ENRIQUEZ ROSERO
PARTIDO DE LA U - EN MARCHA,MANUEL ANTONIO HORMAZA ZUÑIGA
PARTIDO DE LA U - EN MARCHA,CLAUDIA INES CABRERA TARAZONA
PARTIDO DE LA U - EN MARCHA,DANIEL GUERRA ZARAMA
PARTIDO DE LA U - EN MARCHA,LILIAN LUCERO QUINTERO SUAREZ
PARTIDO CAMBIO RADICAL,YISELA ALEXANDRA MARTINEZ GOMEZ
PARTIDO CAMBIO RADICAL,EDUARDO ANDRES ZUÑIGA SOLARTE
PARTIDO CAMBIO RADICAL,ANDRES CAMILO PABON PANTOJA
PARTIDO CAMBIO RADICAL,MELISSA FERNANDA BASTIDAS BASTIDAS
PARTIDO CAMBIO RADICAL,HANSELL SMITH BENAVIDES CUARAN
PARTIDO CENTRO DEMOCRÁTICO,LUCY JAKELINE PEREZ ERIRA
PARTIDO CENTRO DEMOCRÁTICO,JUAN PABLO ERASO ERASO
PARTIDO CENTRO DEMOCRÁTICO,MARIA ALEJANDRA PATIÑO DAZA
PARTIDO CENTRO DEMOCRÁTICO,MELCHOR MILITON MARTINEZ VALDELAMAR
PARTIDO CENTRO DEMOCRÁTICO,CATHERINE ASTRID FIGUEROA MARTINEZ
PARTIDO POLÍTICO DIGNIDAD & COMPROMISO,MANUEL ALEJANDRO PANTOJA RODRIGUEZ
PARTIDO POLÍTICO DIGNIDAD & COMPROMISO,FLOR ELIZABETH CUASQUEN LASSO
PARTIDO POLÍTICO DIGNIDAD & COMPROMISO,JUAN FELIPE MONTENEGRO VILLOTA
PARTIDO POLÍTICO DIGNIDAD & COMPROMISO,FABIO ESTEBAN CORAL BENITEZ
PARTIDO POLÍTICO DIGNIDAD & COMPROMISO,KAREN MELISSA YEPEZ LARA
PARTIDO COLOMBIA RENACIENTE,LUZ NEREIDA HERRERA VALENCIA
PARTIDO COLOMBIA RENACIENTE,CIELO CLARET MARQUINEZ
PARTIDO COLOMBIA RENACIENTE,CRUZ ANTONIO PAZ COLORADO
"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""",VALENTINA GUTIERREZ ARAUJO
"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""",LINDERMAN ADRADA LOPEZ
"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""",DORIS ELENA JACANAMIJOY JACANAMIJOY
MOVIMIENTO UNIDAD EN MINGA POR COLOMBIA,AIDA PETRONA SUAREZ SANTOS
MOVIMIENTO UNIDAD EN MINGA POR COLOMBIA,CARLOS MARIO CALVO LARGO
FUERZA ANCESTRAL,GERMAN VALDERRAMA MEDINA
FUERZA ANCESTRAL,DERLY TATIANA ARTUNDUAGA TOLEDO
ASOCIACIÓN DE CABILDOS INDÍGENAS ZENÚ ORICO,RAFAEL JACOB RIVERA HOYOS
ASOCIACIÓN DE CABILDOS INDÍGENAS ZENÚ ORICO,ANA JULIA TEVAR AYALA
ASOCIACIÓN DE CABILDOS INDÍGENAS ZENÚ ORICO,KATHERINE ORDOÑEZ VELASCO
ACMIZSAM,ALBA LUZ RINCO ZUBIRIA
TRIETNICO GOBERNATIVO TRIGO,RODOLFO ALDRIN CAMACHO MENDOZA
TRIETNICO GOBERNATIVO TRIGO,TULIA PINEDA HERNANDEZ
TRIETNICO GOBERNATIVO TRIGO,HUMBERTO JOSE MENA ROMERO
PARTIDO INDÍGENA COLOMBIANO P.I.C,MARCELINO CHINDOY CHICUNQUE
PARTIDO INDÍGENA COLOMBIANO P.I.C,JHONY APARICIO RAMIREZ
PARTIDO INDÍGENA COLOMBIANO P.I.C,MAGNOLIA MORALES ZAMORA
"ASOCIACIÓN NACIONAL INDÍGENA DE COLOMBIA ""ANIC""",JUAN CARLOS JARAMILLO CHICUNQUE
PARTIDO INDÍGENA ZENÚ (PIZ),RAFAEL SAMIR GOMEZ HOYOS
PARTIDO INDÍGENA ZENÚ (PIZ),MARTHA LILIANA SOLANO ROSARIO
CABILDO INDÍGENA TEVIS,ERMES RAFAEL URZOLA DE LA BARRERA
PARTIDO ECOLOGISTA COLOMBIANO,BENILDO ESTUPIÑAN SOLIS
PARTIDO ECOLOGISTA COLOMBIANO,ALMA EVELYN PHYSCO CANENCIO
PARTIDO ECOLOGISTA COLOMBIANO,LINER CAMPO TEJEDOR
CONSEJO COMUNITARIO EL NARANJO,OSCAR DAVID BENAVIDES ANGULO
CONSEJO COMUNITARIO EL NARANJO,ANYELA VIVIANA GUANGA MARQUINEZ
CONSEJO COMUNITARIO EL NARANJO,JOSE FRANCISCO IBALDE IBARRA
ASOCIACIÓN AFRODESCENDIENTE PACÍFICO POR LA PAZ,DINA LUZ BENITEZ BALCEIRO
ASOCIACIÓN AFRODESCENDIENTE PACÍFICO POR LA PAZ,ANGEL ARLES MARTINEZ NOGUERA
ASOCIACIÓN AFRODESCENDIENTE PACÍFICO POR LA PAZ,JUAN JOSE CIFUENTES VALERO
"""AFROSLIBRES""",OSWALDO JOSE OCHOA ALBOR
"""AFROSLIBRES""",ISMAEL MAESTRE SIMACA
"""AFROSLIBRES""",SARA ESTHER CORREA CHICO
"EXPRESIÓN AFRO, AMBIENTAL Y CULTURAL COLOMBIA CON DIGNIDAD",OMAR BONILLA GARCIA
"EXPRESIÓN AFRO, AMBIENTAL Y CULTURAL COLOMBIA CON DIGNIDAD",DARLY PALACIOS QUEJADA
"EXPRESIÓN AFRO, AMBIENTAL Y CULTURAL COLOMBIA CON DIGNIDAD",PEDRO ANTONIO ECHEVERRY RAMIREZ
"CONSEJO COMUNITARIO DE PIZARRO ""CONCOPI""",PACIANO ASPRILLA ARBOLEDA
"CONSEJO COMUNITARIO DE PIZARRO ""CONCOPI""",JAZMIN PATRICIA GARCIA CAICEDO
"CONSEJO COMUNITARIO DE PIZARRO ""CONCOPI""",SILVERIO JOSE CALDERON DAZA
CONSEJO COMUNITARIO KUSUTOMA - GENDE COKUMALU,RUBEN DAVID SALINA CASSIANI
CONSEJO COMUNITARIO KUSUTOMA - GENDE COKUMALU,OLGA ESTHER LICONA MARIO
CONSEJO COMUNITARIO KUSUTOMA - GENDE COKUMALU,CEFORA JOSEFA ARIAS ANAYA
PARTIDO DEMÓCRATA COLOMBIANO,WINSNER NESSIR SANDOVAL IBAÑEZ
PARTIDO DEMÓCRATA COLOMBIANO,PEDRO ADAN TORRES PEREZ
PARTIDO DEMÓCRATA COLOMBIANO,MARIA EUGENIA PEREZ BARRAZA
CONSEJO COMUNITARIO VEREDAS UNIDAS POR UN BIEN COMÚN,CAMILO OBANDO ANGULO
CONSEJO COMUNITARIO VEREDAS UNIDAS POR UN BIEN COMÚN,ESTEFANIA ARENILLA GUERRA
CONSEJO COMUNITARIO VEREDAS UNIDAS POR UN BIEN COMÚN,ALEX WALTER DEUSA
OSAVIPLAR,MARCELINO JOSE LOPEZ PEREZ
OSAVIPLAR,JORGE DANIEL VERGARA RIVERA
OSAVIPLAR,KATHERINE BULA PAEZ
CONSEJO COMUNITARIO ALTO MIRA Y FRONTERA,MARTIR EVANGELISTA CABEZAS CORTES
CONSEJO COMUNITARIO DE LA COMUNIDAD NEGRA DE LIMONES,JORGE ELIECER GARCES FLOREZ
CONSEJO COMUNITARIO DE LA COMUNIDAD NEGRA DE LIMONES,KENDRYS PAOLA REYES TORRES
CONSEJO COMUNITARIO DE LA COMUNIDAD NEGRA DE LIMONES,LEONARDO ARNEDO MENDOZA
ASOCIACIÓN ÉTNICA MUNDO DIVERSO INTERCULTURAL,WILFRIDO OROBIO HERNANDEZ
ASOCIACIÓN ÉTNICA MUNDO DIVERSO INTERCULTURAL,DAGOBERTO SANTOYA PEÑA
ASOCIACIÓN ÉTNICA MUNDO DIVERSO INTERCULTURAL,KARINA DEL CARMEN MARTINEZ GONZALEZ
CONSEJO COMUNITARIO RÍO DE GUADUAS - CHIGORODÓ,AMADOR CAYCEDO MENA
TODO ES POSIBLE,HERBIN JANDRY AMU DIAZ
TODO ES POSIBLE,KAROLL ARROYO BANGUERA
TODO ES POSIBLE,JOSE YAIR CAICEDO NARANJO
CONSEJO COMUNITARIO AFROZABALETAS,CAMILO RIVERA SOTO
C.C. DE LA COMUNIDAD NEGRA DE LA VEREDA EL ESFUERZO,DIEGO ARMANDO SANCHEZ ARBOLEDA
C.C. DE LA COMUNIDAD NEGRA DE LA VEREDA EL ESFUERZO,JENIFER TATIANA MOSQUERA BARRERA
C.C. DE LA COMUNIDAD NEGRA DE LA VEREDA EL ESFUERZO,HERNANDO MOSQUERA BARBOSA
CONSEJO COMUNITARIO MANUEL ZAPATA OLIVELLA DE SAN ANTERO,JORGE IVAN MINA LASSO
CONSEJO COMUNITARIO MANUEL ZAPATA OLIVELLA DE SAN ANTERO,JORGE ANDRES GONZALEZ SILVA
CONSEJO COMUNITARIO MANUEL ZAPATA OLIVELLA DE SAN ANTERO,LORENA CENITH DE LA CRUZ RODRIGUEZ
CONSEJO COMUNITARIO CASIMIRO MEZA MENDOZA-COCONEBO,YUNIA CECILIA PALACIOS CUESTA
CONSEJO COMUNITARIO CASIMIRO MEZA MENDOZA-COCONEBO,MARIA CAMILA ARMENTA FELIZZOLA
CONSEJO COMUNITARIO CASIMIRO MEZA MENDOZA-COCONEBO,FRANKLIN DE JESUS MEZA SEQUEDA
FUNDACIÓN ARTÍSTICA CULTURAL SALSA Y RUMBA,JOSE MANUEL ANGULO CASTILLO
FUNDACIÓN ARTÍSTICA CULTURAL SALSA Y RUMBA,IRENE YAZMIN BANDERA GONZALEZ
FUNDACIÓN ARTÍSTICA CULTURAL SALSA Y RUMBA,SALLY ROSMIRA GOMEZ POSSU
CONSEJO COMUNITARIO NUEVA ESPERANZA,OSCAR YAHIR RENTERIA GUARDIA
CONSEJO COMUNITARIO NUEVA ESPERANZA,VICTOR MANUEL VERGARA JULIO
CONSEJO COMUNITARIO NUEVA ESPERANZA,BEATRIZ ELENA TORO TOSCANO
"CONSEJO COMUNITARIO DE TRUANDO - LA TERESITA ""COCOTRUMETE""",EDINSON MURILLO ALBORNOZ
"CONSEJO COMUNITARIO DE TRUANDO - LA TERESITA ""COCOTRUMETE""",JORGE LUIS BAGUI PRECIADO
"CONSEJO COMUNITARIO DE TRUANDO - LA TERESITA ""COCOTRUMETE""",CLARA DORALIA MORA PINILLOS
FUNDACIÓN ORSUBA,DIOGENES JESUS VIOLET MARTELO
FUNDACIÓN ORSUBA,AUDREY ALEXANDRA VALLE GONZALEZ
AFROEMPRENDIMIENTO,JOSE ADUER LANDAZURI ORTIZ
AFROEMPRENDIMIENTO,LEONOR MARIA PALOMINO RAMIREZ
AFROEMPRENDIMIENTO,ABEL ANTONIO SUAREZ IGLESIA
CONSEJO COMUNITARIO DE CÉRTEGUI,JAIR EDER PALACIOS PALACIOS
CONSEJO COMUNITARIO DE CÉRTEGUI,JERSON ERICK PALACIOS PALACIOS
CONSEJO COMUNITARIO DE CÉRTEGUI,KETTY YINETH PEREA PALACIOS
CONSEJO COMUNITARIO LA GRAN VÍA DE LOS REMEDIOS,MIGUEL ABRAHAM POLO POLO
CONSEJO COMUNITARIO LA GRAN VÍA DE LOS REMEDIOS,VERONICA PAOLA CUELLO ESTRADA
CONSEJO COMUNITARIO LA GRAN VÍA DE LOS REMEDIOS,HITLER ROUSEAU CHAVERRA OVALLE
CONSEJO COMUNITARIO UNIÓN DEL RÍO ROSARIO,JUAN JAVIER JARAMILLO PALMA
CONSEJO COMUNITARIO UNIÓN DEL RÍO ROSARIO,ROSMERY BEATRIZ LOGREIRA BAIZ
CONSEJO COMUNITARIO UNIÓN DEL RÍO ROSARIO,LUIS ALBERTO KLINGER ARIAS
"FUNDACIÓN SEMILLAS PARA UNA VIDA DIGNA ""FUSEMVID""",YOVERLAN BANGUERA VIVEROS
"FUNDACIÓN SEMILLAS PARA UNA VIDA DIGNA ""FUSEMVID""",JORGE ISAAC ARAMBURO GARCIA
"FUNDACIÓN SEMILLAS PARA UNA VIDA DIGNA ""FUSEMVID""",ANGELA PAZ CAMPAZ
CONSEJO COMUNITARIO AFROÉTNICO DE RISARALDA,DUVAN STIWAR CASTRO MACHADO
"CONSEJO COMUNITARIO INTEGRAL DE LLORÓ ""COCOILLO""",HAMILSON ARAGON RENTERIA
"CONSEJO COMUNITARIO INTEGRAL DE LLORÓ ""COCOILLO""",OVIDIO ASPRILLA SANCHEZ
"CONSEJO COMUNITARIO INTEGRAL DE LLORÓ ""COCOILLO""",ZULLY FERNANDA CUNDUMI MANCILLA
CONSEJO COMUNITARIO DE COMUNIDADES NEGRAS CUENCA RÍO OVEJAS,ALEXANDER BOLAÑOS GARCIA
CONSEJO COMUNITARIO DE COMUNIDADES NEGRAS CUENCA RÍO OVEJAS,CRUZ ENEIDA QUIÑONES TENORIO
CONSEJO COMUNITARIO DE COMUNIDADES NEGRAS CUENCA RÍO OVEJAS,AMALIA ROSA CAMPO NAVARRO
"ASOCIACIÓN AFROCOLOMBIANA ""ASOMAKIDZON""",MARTIN GERARDO TOBAR VIDAL
"ASOCIACIÓN AFROCOLOMBIANA ""ASOMAKIDZON""",DIGNA YURANI CABEZAS ANGULO
"ASOCIACIÓN AFROCOLOMBIANA ""ASOMAKIDZON""",ALIME RUIDIAZ
COCOPEMA,VICTOR HUGO HINESTROZA OBREGON
COCOPEMA,YARLEIDIS MURILLO PALACIOS
COCOPEMA,FABIOLA BONILLA TORRES
COMUNIDAD AFROCOLOMBIANA DE LA SIERRA NEVADA,PABLA MILEIDIS HIDALGO OCAMPO
COMUNIDAD AFROCOLOMBIANA DE LA SIERRA NEVADA,ROLAN SANTANDER ILLIDGE PACHECO
COMUNIDAD AFROCOLOMBIANA DE LA SIERRA NEVADA,BRANIS ENRIQUE AVILA ORTIZ
ASOCONEG,LENIN JESUS MENDOZA PEREZ
ASOCONEG,LUZMILA CORTINEZ DURAN
ASOCONEG,JOSE ROBERTO MEJIA CASTRO
CONSEJO COMUNITARIO PANAMÁ DE ARAUCA,PEDRO DAVID SAA SOTO
CONSEJO COMUNITARIO PANAMÁ DE ARAUCA,MISHELL TATIANA MARROQUIN ERAZO
"FUNDACIÓN ECOLÓGICA, RURAL Y URBANA DEL PACÍFICO ""FUNERPA""",ROMELIO RIASCOS RENTERIA
"FUNDACIÓN ECOLÓGICA, RURAL Y URBANA DEL PACÍFICO ""FUNERPA""",NERLY ESTHER RODRIGUEZ MOSQUERA
"FUNDACIÓN ECOLÓGICA, RURAL Y URBANA DEL PACÍFICO ""FUNERPA""",RUBY ELENA GIRALDO RAMOS
AFRO CYC,EDGAR ARIEL PALACIO TORDECILLA
AFRO CYC,REINALDO TORRES BANQUETH
AFRO CYC,BERTHA JUDITH BASTIDAS MARTINEZ
LOS SABANEROS DEL CORREGIMIENTO DE MINGUILLO,ANGEL DAVID ESGUERRA TACHE
LOS SABANEROS DEL CORREGIMIENTO DE MINGUILLO,CLAUDIA MARIA FELIZZOLA SIERRA
OEAFROBOL,MARIO ISRAEL BOLAÑO HERNANDEZ
OEAFROBOL,JUAN JOSE CORDOBA RODELO
OEAFROBOL,DIANA MIRLEIDYS RIVERA AVILA
CONSEJO COMUNITARIO DE QUINAMAYO,DIANA PAOLA RAMOS MEDINA
CONSEJO COMUNITARIO DE QUINAMAYO,LEUDIN HURTADO CAICEDO
CONSEJO COMUNITARIO DE QUINAMAYO,CARMEN ROSAURA ANCHICO MOSQUERA
CONSEJO LABORAL AFROCOLOMBIANO CLAF - BOGOTÁ,LUCY PILAR CALDERON GONZALEZ
CONSEJO LABORAL AFROCOLOMBIANO CLAF - BOGOTÁ,LUZ DEL ROSARIO PEÑA OSPINO
OEAPUN,JHORLYN ENRIQUE MENA MOSQUERA
OEAPUN,EVERLIDES ESTHER CHICA HERNANDEZ
OEAPUN,ALBERTO MARIANO SOTO TORRES
ASTECA,CRUZ EMILIA QUEJADA QUEJADA
ASTECA,JOSE SANTIAGO CASTAÑEDA VALENCIA
ASTECA,RAMON MARTINEZ CORDOBA
CONSEJO COMUNITARIO NEGROS UNIDOS,JONATHAN MICOLTA BERMUDEZ
CRISTIANOS POR COLOMBIA AFROS,NOHEMI SOLIS ROSENDO
CRISTIANOS POR COLOMBIA AFROS,CLAUDIA MARIA CEPEDA URRUTIA
CRISTIANOS POR COLOMBIA AFROS,FORLIN MANUEL LOPEZ PARRA
PARTIDO LIBERAL COLOMBIANO,JOSE OCTAVIO CARDONA LEON
PARTIDO LIBERAL COLOMBIANO,OSCAR ALONSO VARGAS JARAMILLO
PARTIDO LIBERAL COLOMBIANO,MARIANA GRAJALES JARAMILLO
PARTIDO LIBERAL COLOMBIANO,JORGE ARMANDO CARRERO PIMENTEL
PARTIDO LIBERAL COLOMBIANO,ANA GRACIELA HENAO HENAO
CENTRO DEMOCRÁTICO- PARTIDO DE LA U,JAIME ALONSO ZULUAGA ARISTIZABAL
CENTRO DEMOCRÁTICO- PARTIDO DE LA U,MATEO HIDALGO MONTOYA
CENTRO DEMOCRÁTICO- PARTIDO DE LA U,CAROLINA ESCOBAR RAMIREZ
CENTRO DEMOCRÁTICO- PARTIDO DE LA U,MARIA XIMENA GONZALEZ PELAEZ
CENTRO DEMOCRÁTICO- PARTIDO DE LA U,NOHEMY CECILIA CONSTAIN BETANCUR
"PARTIDO ALIANZA SOCIAL INDEPENDIENTE ""ASI""",CESAR AUGUSTO DIAZ ZAPATA
"PARTIDO ALIANZA SOCIAL INDEPENDIENTE ""ASI""",MANUEL ORLANDO CORREA BEDOYA
"PARTIDO ALIANZA SOCIAL INDEPENDIENTE ""ASI""",PAULA ANDREA TORO SANTANA
"PARTIDO ALIANZA SOCIAL INDEPENDIENTE ""ASI""",ANA CRISTINA JARAMILLO GUTIERREZ
"PARTIDO ALIANZA SOCIAL INDEPENDIENTE ""ASI""",FABIO DE JESUS MONCADA MELO
PARTIDO CONSERVADOR COLOMBIANO,JUAN MANUEL LONDOÑO JARAMILLO
PARTIDO CONSERVADOR COLOMBIANO,FELIX ALEJANDRO CHICA CORREA
PARTIDO CONSERVADOR COLOMBIANO,MARIA YULIANA GIRALDO CORREA
PARTIDO CONSERVADOR COLOMBIANO,JUAN ESTEBAN TEJADA RAMOS
PARTIDO CONSERVADOR COLOMBIANO,BEATRIZ AMPARO OCAMPO OCAMPO
AHORA COLOMBIA CALDAS,DANIELA ARBOLEDA RIOS
